Date,"Crashes (Per interval, Daily): All Android versions","Crashes (Per interval, Daily): Android 14","Crashes (Per interval, Daily): Android 15","Crashes (Per interval, Daily): Android 8.1","Crashes (Per interval, Daily): Android 12",Notes
15 May 2024,105,5,0,12,20,
16 May 2024,91,0,0,11,22,
17 May 2024,90,3,0,12,24,
18 May 2024,81,5,0,8,18,
19 May 2024,83,4,0,7,16,
20 May 2024,98,3,0,2,23,
21 May 2024,69,2,0,2,20,
22 May 2024,83,3,0,3,29,
23 May 2024,85,4,0,7,24,
24 May 2024,87,6,0,6,22,
25 May 2024,93,4,0,10,24,
26 May 2024,76,5,0,2,30,
27 May 2024,96,8,0,2,24,
28 May 2024,92,8,0,4,24,
29 May 2024,95,5,0,8,27,
30 May 2024,121,4,0,11,57,
31 May 2024,118,17,0,6,26,
1 Jun 2024,84,3,0,5,29,
2 Jun 2024,77,7,0,4,19,
3 Jun 2024,110,9,0,7,20,
4 Jun 2024,79,4,0,19,12,
5 Jun 2024,94,14,0,3,37,
6 Jun 2024,69,7,0,2,13,
7 Jun 2024,130,27,0,21,26,
8 Jun 2024,103,18,0,11,18,
9 Jun 2024,112,20,0,6,20,
10 Jun 2024,81,6,0,7,23,
11 Jun 2024,112,34,0,14,20,
12 Jun 2024,77,7,0,6,30,
13 Jun 2024,61,14,0,1,11,
14 Jun 2024,69,5,0,12,18,
15 Jun 2024,62,1,0,2,21,
16 Jun 2024,71,3,0,4,21,
17 Jun 2024,78,6,0,1,26,
18 Jun 2024,80,5,0,1,17,
19 Jun 2024,88,3,0,2,20,
20 Jun 2024,107,14,0,3,23,
21 Jun 2024,77,7,0,2,28,
22 Jun 2024,112,18,0,6,34,
23 Jun 2024,106,11,0,1,17,
24 Jun 2024,105,14,0,7,19,
25 Jun 2024,118,13,0,10,22,
26 Jun 2024,124,9,0,13,25,
27 Jun 2024,129,10,0,20,20,
28 Jun 2024,94,8,0,12,19,
29 Jun 2024,91,9,0,11,22,
30 Jun 2024,92,12,0,5,18,
1 Jul 2024,108,13,0,17,20,
2 Jul 2024,105,15,0,8,23,
3 Jul 2024,103,8,0,10,32,
4 Jul 2024,98,8,0,19,26,
5 Jul 2024,107,10,0,17,32,
6 Jul 2024,72,5,0,10,11,
7 Jul 2024,89,10,0,7,22,
8 Jul 2024,83,7,0,10,22,
9 Jul 2024,79,8,0,1,25,
10 Jul 2024,70,7,0,4,18,
11 Jul 2024,84,16,0,3,18,
12 Jul 2024,83,11,0,11,11,
13 Jul 2024,83,9,0,1,19,
14 Jul 2024,85,24,0,0,19,
15 Jul 2024,75,11,0,4,18,
16 Jul 2024,80,15,0,1,36,
17 Jul 2024,55,7,0,3,11,
18 Jul 2024,90,8,0,6,24,
19 Jul 2024,85,4,0,1,16,
20 Jul 2024,55,4,0,1,7,
21 Jul 2024,101,10,0,9,26,
22 Jul 2024,102,10,0,24,9,
23 Jul 2024,141,7,0,12,36,
24 Jul 2024,143,15,0,21,26,
25 Jul 2024,118,15,0,14,21,
26 Jul 2024,135,11,0,6,72,
27 Jul 2024,77,12,0,10,15,
28 Jul 2024,137,31,0,6,23,
29 Jul 2024,69,11,0,4,13,
30 Jul 2024,119,15,0,5,38,
